Speaker,Group
Aggeliki Chalki,1
Léo Exibard,1
Mark Addis,4
Vedran Cacic,2
Tin Adlesic,2
Brett McLean,1
Amir Djamel Eddine,25
Hitoshi Omori,27
Guillermo Badia,3
Bjarki Geir Benediktsson,11
Bruno Bentzen,13
Katalin Bimbo,3
Jason Block,4
Maria Beatrice Buonaguidi,14
Yong Cheng,15
Syzmon Chlebowski,5
Patrycja Kups,5
Cezary Cieslinski,15
Petr Cintula,14
Vittorio Cipirani,6
Ludovica Conti,16
Tonicha Crook,6
Avgerinos Delkos,12
Pablo Dopico,16
Hsing-Chien Tsai,17
Fredrik Engstrom,7
Oriola Gjetaj,17
Konstantinos Papfilippou,18
Usama Sardar,12
Francesco Gallinaro,10
Michal Godziszewski,16
Michal Godziszewski,26
Mattias Granberg Olsson,13
Daichi Hayashi,15
Jouko Väänänen,7
Joni Puljujarvi,10
Jan Hubicka,8
Andrzej Indrzejczak,18
Olga Ulbrikht,11
Hrafn Oddsson,22
Peter Koepke,20
Matej Konecny,8
Katarzyna W. Kowalik,21
Adrian Portillo,11
Beibut Kulpeshov,24
